Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/07/2019;134775,519;106,194;135620,006;104,265;119811,784;0
02/07/2019;134907,841;132,322;135753,441;133,435;119811,784;0
03/07/2019;134971,765;63,924;135817,225;63,784;119811,784;0
04/07/2019;135100,89;129,125;135949,099;131,874;119811,784;0
05/07/2019;135236,126;135,236;136085,492;136,393;119811,784;0
06/07/2019;135382,907;146,781;136229,222;143,73;119811,784;0
07/07/2019;135523,06;140,153;136369,996;140,774;119811,784;0
08/07/2019;135647,737;124,677;136493,501;123,505;119811,784;0
09/07/2019;135790,541;142,804;136633,634;140,133;119811,784;0
10/07/2019;135914,181;123,64;136757,629;123,995;119811,784;0
11/07/2019;136055,287;141,106;136898,061;140,432;119811,784;0
12/07/2019;136187,109;131,822;137029,003;130,942;119811,784;0
13/07/2019;136319,545;132,436;137160,563;131,56;119811,784;0
14/07/2019;136435,614;116,069;137276,336;115,773;119811,784;0
15/07/2019;136574,618;139,004;137412,033;135,697;119811,784;0
16/07/2019;136675,3;100,682;137513,581;101,548;119811,784;0
17/07/2019;136827,121;151,821;137664,054;150,473;119811,784;0
18/07/2019;136961,154;134,033;137794,455;130,401;119811,784;0
19/07/2019;137069,173;108,019;137908,66;114,205;119811,784;0
20/07/2019;137142,841;73,668;137982,441;73,781;119811,784;0
21/07/2019;137260,565;117,724;138099,353;116,912;119811,784;0
22/07/2019;137350,136;89,571;138188,966;89,613;119811,784;0
23/07/2019;137463,482;113,346;138301,154;112,188;119811,784;0
24/07/2019;137500,965;37,483;138338,884;37,73;119811,784;0
25/07/2019;137622,479;121,514;138459,917;121,033;119811,784;0
26/07/2019;137765,592;143,113;138603,415;143,498;119811,784;0
27/07/2019;137829,842;64,25;138668,104;64,689;119811,784;0
28/07/2019;137961,41;131,568;138799,395;131,291;119811,784;0
29/07/2019;138084,868;123,458;138921,311;121,916;119811,784;0
30/07/2019;138228,661;143,793;139067,286;145,975;119811,784;0
31/07/2019;138330,303;101,642;139169,218;101,932;119811,784;0
