Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/06/2019;131618,405;143,646;132466,037;141,51;119811,784;0
02/06/2019;131757,417;139,012;132604,483;138,446;119811,784;0
03/06/2019;131888,079;130,662;132734,528;130,045;119811,784;0
04/06/2019;132030,044;141,965;132876,093;141,565;119811,784;0
05/06/2019;132171,482;141,438;133016,278;140,185;119811,784;0
06/06/2019;132311,662;140,18;133156,377;140,099;119811,784;0
07/06/2019;132458,055;146,393;133301,111;144,734;119811,784;0
08/06/2019;132600,842;142,787;133443,743;142,632;119811,784;0
09/06/2019;132740,912;140,07;133583,098;139,355;119811,784;0
10/06/2019;132815,807;74,895;133658,275;75,177;119811,784;0
11/06/2019;132909,207;93,4;133752,037;93,762;119811,784;0
12/06/2019;132981,975;72,768;133824,941;72,904;119811,784;0
13/06/2019;132985,519;3,544;133828,474;3,533;119811,784;0
14/06/2019;133083,081;97,562;133926,108;97,634;119811,784;0
15/06/2019;133131,853;48,772;133975,231;49,123;119811,784;0
16/06/2019;133178,658;46,805;134022,229;46,998;119811,784;0
17/06/2019;133214,852;36,194;134058,493;36,264;119811,784;0
18/06/2019;133283,004;68,152;134127,66;69,167;119811,784;0
19/06/2019;133420,63;137,626;134264,241;136,581;119811,784;0
20/06/2019;133534,137;113,507;134378,142;113,901;119811,784;0
21/06/2019;133626,963;92,826;134472,06;93,918;119811,784;0
22/06/2019;133749,773;122,81;134597,068;125,008;119811,784;0
23/06/2019;133844,706;94,933;134695,718;98,65;119811,784;0
24/06/2019;133970,078;125,372;134821,556;125,838;119811,784;0
25/06/2019;134067,007;96,929;134919,656;98,1;119811,784;0
26/06/2019;134172,37;105,363;135025,342;105,686;119811,784;0
27/06/2019;134269,939;97,569;135120,425;95,083;119811,784;0
28/06/2019;134394,802;124,863;135244,102;123,677;119811,784;0
29/06/2019;134535,834;141,032;135382,542;138,44;119811,784;0
30/06/2019;134669,325;133,491;135515,741;133,199;119811,784;0
