Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/12/2017;59676,077;147,225;59869,886;149,302;60260,407;141,291
02/12/2017;59809,688;133,611;60006,007;136,121;60412,485;152,078
03/12/2017;59950,331;140,643;60149,242;143,235;60563,256;150,771
04/12/2017;60099,225;148,894;60300,317;151,075;60700,117;136,861
05/12/2017;60257,794;158,569;60460,519;160,202;60844,404;144,287
06/12/2017;60399,325;141,531;60603,945;143,426;60997,762;153,358
07/12/2017;60534,957;135,632;60740,868;136,923;61159,792;162,03
08/12/2017;60672,939;137,982;60880,951;140,083;61305,129;145,337
09/12/2017;60803,341;130,402;61012,413;131,462;61442,892;137,763
10/12/2017;60955,301;151,96;61166,186;153,773;61583,722;140,83
11/12/2017;61103,498;148,197;61317,028;150,842;61716,51;132,788
12/12/2017;61237,323;133,825;61452,664;135,636;61871,838;155,328
13/12/2017;61391,977;154,654;61610,238;157,574;62024,873;153,035
14/12/2017;61543,543;151,566;61763,724;153,486;62163,117;138,244
15/12/2017;61691,826;148,283;61914,001;150,277;62322,762;159,645
16/12/2017;61844,809;152,983;62069,2;155,199;62478,001;155,239
17/12/2017;61983,517;138,708;62208,859;139,659;62629,867;151,866
18/12/2017;62079,215;95,698;62305,036;96,177;62786,707;156,84
19/12/2017;62207,205;127,99;62434,035;128,999;62927,953;141,246
20/12/2017;62330,974;123,769;62558,904;124,869;63024,66;96,707
21/12/2017;62461,439;130,465;62690,824;131,92;63154,585;129,925
22/12/2017;62608,244;146,805;62839,301;148,477;63281,155;126,57
23/12/2017;62750,151;141,907;62983,334;144,033;63414,053;132,898
24/12/2017;62894,926;144,775;63130,882;147,548;63563,456;149,403
25/12/2017;63041,215;146,289;63279,619;148,737;63708,277;144,821
26/12/2017;63196,758;155,543;63438,345;158,726;63856,897;148,62
27/12/2017;63349,759;153,001;63593,963;155,618;64007,307;150,41
28/12/2017;63501,776;152,017;63748,304;154,341;64168,236;160,929
29/12/2017;63657,315;155,539;63907,009;158,705;64326,057;157,821
30/12/2017;63798,489;141,174;64050,574;143,565;64482,138;156,081
31/12/2017;63955,467;156,978;64210,636;160,062;64643,069;160,931
