Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/08/2018;90557,704;120,459;90994,29;117,244;91367,956;122,101
02/08/2018;90661,251;103,547;91095,002;100,712;91472,99;105,034
03/08/2018;90803,445;142,194;91238,367;143,365;91618,18;145,19
04/08/2018;90956,993;153,548;91391,824;153,457;91775,029;156,849
05/08/2018;91099,905;142,912;91532,878;141,054;91919,807;144,778
06/08/2018;91246,655;146,75;91677,647;144,769;92069,06;149,253
07/08/2018;91398,129;151,474;91827,364;149,717;92223,587;154,527
08/08/2018;91539,74;141,611;91967,862;140,498;92367,863;144,276
09/08/2018;91596,66;56,92;92025,255;57,393;92425,546;57,683
10/08/2018;91753,836;157,176;92181,857;156,602;92585,834;160,288
11/08/2018;91904,316;150,48;92330,322;148,465;92738,999;153,165
12/08/2018;92041,433;137,117;92467,08;136,758;92878,287;139,288
13/08/2018;92194,516;153,083;92619,301;152,221;93034,058;155,771
14/08/2018;92334,479;139,963;92759,834;140,533;93176,982;142,924
15/08/2018;92479,782;145,303;92903,216;143,382;93324,827;147,845
16/08/2018;92623,458;143,676;93046,054;142,838;93470,526;145,699
17/08/2018;92764,807;141,349;93186,314;140,26;93614,995;144,469
18/08/2018;92881,268;116,461;93302,159;115,845;93733,329;118,334
19/08/2018;93011,382;130,114;93434,742;132,583;93867,778;134,449
20/08/2018;93156,348;144,966;93582,154;147,412;94016,732;148,954
21/08/2018;93293,372;137,024;93721,461;139,307;94157,049;140,317
22/08/2018;93410,335;116,963;93840,526;119,065;94276,67;119,621
23/08/2018;93540,905;130,57;93970,751;130,225;94410,505;133,835
24/08/2018;93687,115;146,21;94119,099;148,348;94560,3;149,795
25/08/2018;93805,865;118,75;94239,082;119,983;94681,26;120,96
26/08/2018;93937,086;131,221;94375,368;136,286;94820,823;139,563
27/08/2018;94079,145;142,059;94515,916;140,548;94966,156;145,333
28/08/2018;94229,677;150,532;94665,153;149,237;95120,42;154,264
29/08/2018;94373,028;143,351;94807,575;142,422;95266,099;145,679
30/08/2018;94506,278;133,25;94938,61;131,035;95401,153;135,054
31/08/2018;94666,898;160,62;95098,019;159,409;95564,646;163,493
