Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/01/2019;112282,832;132,931;112965,678;136,695;113580,174;138,822
02/01/2019;112428,961;146,129;113114,408;148,73;113731,442;151,268
03/01/2019;112581,691;152,73;113270,595;156,187;113890,349;158,907
04/01/2019;112723,582;141,891;113414,199;143,604;114035,159;144,81
05/01/2019;112840,264;116,682;113531,939;117,74;114153,985;118,826
06/01/2019;112969,377;129,113;113663,283;131,344;114286,507;132,522
07/01/2019;113106,559;137,182;113801,957;138,674;114426,438;139,931
08/01/2019;113229,992;123,433;113926,528;124,571;114552,231;125,793
09/01/2019;113370,32;140,328;114068,623;142,095;114695,813;143,582
10/01/2019;113525,544;155,224;114227,263;158,64;114857,227;161,414
11/01/2019;113674,052;148,508;114379,89;152,627;115012,711;155,484
12/01/2019;113731,115;57,063;114437,487;57,597;115070,642;57,931
13/01/2019;113888,914;157,799;114599,515;162,028;115235,924;165,282
14/01/2019;114042,072;153,158;114755,792;156,277;115393,904;157,98
15/01/2019;114188,067;145,995;114904,615;148,823;115544,349;150,445
16/01/2019;114347,381;159,314;115067,452;162,837;115709,8;165,451
17/01/2019;114489,405;142,024;115211,518;144,066;115856,174;146,374
18/01/2019;114649,38;159,975;115375,276;163,758;116021,786;165,612
19/01/2019;114805,261;155,881;115533,816;158,54;116181,933;160,147
20/01/2019;114952,548;147,287;115683,648;149,832;116333,619;151,686
21/01/2019;115106,687;154,139;115841,186;157,538;116494,156;160,537
22/01/2019;115234,924;128,237;115973,029;131,843;116626,607;132,451
23/01/2019;115394,144;159,22;116135,742;162,713;116790,446;163,839
24/01/2019;115551,593;157,449;116297,124;161,382;116953,958;163,512
25/01/2019;115707,491;155,898;116457,173;160,049;117116,791;162,833
26/01/2019;115780,121;72,63;116526,177;69,004;117190,833;74,042
27/01/2019;115935,68;155,559;116685,829;159,652;117353,134;162,301
28/01/2019;116039,945;104,265;116791,834;106,005;117462,658;109,524
29/01/2019;116186,189;146,244;116942,349;150,515;117615,336;152,678
30/01/2019;116333,393;147,204;117093,032;150,683;117766,218;150,882
31/01/2019;116496,512;163,119;117259,418;166,386;117933,392;167,174
