Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/06/2018;83487,624;89,877;83941,022;90,888;84059,86;121,434
02/06/2018;83605,992;118,368;84060,408;119,386;84151,362;91,502
03/06/2018;83706,846;100,854;84160,993;100,585;84271,723;120,361
04/06/2018;83835,798;128,952;84290,431;129,438;84374,725;103,002
05/06/2018;83977,151;141,353;84433,517;143,086;84507,024;132,299
06/06/2018;84092,227;115,076;84548,093;114,576;84650,637;143,613
07/06/2018;84222,331;130,104;84677,86;129,767;84767,07;116,433
08/06/2018;84346,518;124,187;84801,502;123,642;84900,138;133,068
09/06/2018;84472,008;125,49;84927,045;125,543;85026,924;126,786
10/06/2018;84594,612;122,604;85047,561;120,516;85155,101;128,177
11/06/2018;84711,906;117,294;85165,25;117,689;85280,249;125,148
12/06/2018;84727,026;15,12;85181,371;16,121;85399,753;119,504
13/06/2018;84814,47;87,444;85268,573;87,202;85415,139;15,386
14/06/2018;84931,224;116,754;85384,456;115,883;85504,269;89,13
15/06/2018;85011,322;80,098;85464,903;80,447;85624,124;119,855
16/06/2018;85132,863;121,541;85584,985;120,082;85705,573;81,449
17/06/2018;85257,296;124,433;85709,773;124,788;85830,288;124,715
18/06/2018;85383,193;125,897;85836,416;126,643;85957,594;127,306
19/06/2018;85507,908;124,715;85961,113;124,697;86085,273;127,679
20/06/2018;85647,901;139,993;86101,328;140,215;86213,007;127,734
21/06/2018;85779,998;132,097;86233,625;132,297;86356,687;143,68
22/06/2018;85920,168;140,17;86374,957;141,332;86491,362;134,675
23/06/2018;86038,282;118,114;86493,976;119,019;86634,052;142,69
24/06/2018;86157,375;119,093;86612,213;118,237;86754,069;120,017
25/06/2018;86286,333;128,958;86741,119;128,906;86876,546;122,477
26/06/2018;86415,125;128,792;86869,771;128,652;87007,903;131,357
27/06/2018;86520,126;105,001;86974,278;104,507;87139,57;131,667
28/06/2018;86623,101;102,975;87077,465;103,187;87247,392;107,822
29/06/2018;86761,548;138,447;87214,826;137,361;87352,38;104,988
30/06/2018;86900,586;139,038;87353,515;138,689;87494,454;142,074
