Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/07/2018;86968,77;68,184;87420,544;67,029;87638,007;143,553
02/07/2018;86968,77;0;87420,544;0;87707,643;69,636
03/07/2018;87059,967;91,197;87509,294;88,75;87801,571;93,928
04/07/2018;87201,272;141,305;87650,666;141,372;87946,682;145,111
05/07/2018;87335,613;134,341;87785,726;135,06;88084,068;137,386
06/07/2018;87441,722;106,109;87892,371;106,645;88191,509;107,441
07/07/2018;87549,702;107,98;88000,716;108,345;88301,896;110,387
08/07/2018;87661,055;111,353;88109,312;108,596;88415,786;113,89
09/07/2018;87772,402;111,347;88221,702;112,39;88528,706;112,92
10/07/2018;87801,135;28,733;88250,651;28,949;88557,834;29,128
11/07/2018;87922,448;121,313;88371,295;120,644;88681,136;123,302
12/07/2018;88002,039;79,591;88451,141;79,846;88762,158;81,022
13/07/2018;88131,881;129,842;88578,157;127,016;88894,635;132,477
14/07/2018;88266,758;134,877;88711,643;133,486;89032,625;137,99
15/07/2018;88397,115;130,357;88842,776;131,133;89165,835;133,21
16/07/2018;88545,356;148,241;88988,947;146,171;89317,498;151,663
17/07/2018;88694,792;149,436;89136,406;147,459;89470,313;152,815
18/07/2018;88785,343;90,551;89227,2;90,794;89562,336;92,023
19/07/2018;88937,96;152,617;89376,791;149,591;89718,284;155,948
20/07/2018;89062,981;125,021;89500,864;124,073;89845,657;127,373
21/07/2018;89159,399;96,418;89598,294;97,43;89943,611;97,954
22/07/2018;89291,236;131,837;89729,204;130,91;90077,342;133,731
23/07/2018;89411,947;120,711;89851,981;122,777;90200,515;123,173
24/07/2018;89562,249;150,302;90000,865;148,884;90353,998;153,483
25/07/2018;89696,903;134,654;90133,821;132,956;90490,915;136,917
26/07/2018;89834,943;138,04;90272,527;138,706;90631,813;140,898
27/07/2018;89905,519;70,576;90343,617;71,09;90703,419;71,606
28/07/2018;90039,982;134,463;90478,58;134,963;90840,839;137,42
29/07/2018;90173,116;133,134;90611,083;132,503;90976,838;135,999
30/07/2018;90298,214;125,098;90736,911;125,828;91104,055;127,217
31/07/2018;90437,245;139,031;90877,046;140,135;91245,855;141,8
