Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/04/2019;123918,335;41,875;124791,558;41,495;119811,784;0
02/04/2019;124080,437;162,102;124955,678;164,12;119811,784;0
03/04/2019;124209,015;128,578;125084,893;129,215;119811,784;0
04/04/2019;124360,154;151,139;125236,69;151,797;119811,784;0
05/04/2019;124514,696;154,542;125391,339;154,649;119811,784;0
06/04/2019;124638,667;123,971;125516,655;125,316;119811,784;0
07/04/2019;124786,804;148,137;125667,241;150,586;119811,784;0
08/04/2019;124935,316;148,512;125814,706;147,465;119811,784;0
09/04/2019;125092,701;157,385;125970,281;155,575;119811,784;0
10/04/2019;125225,004;132,303;126101,662;131,381;119811,784;0
11/04/2019;125341,765;116,761;126219,055;117,393;119811,784;0
12/04/2019;125367,453;25,688;126244,897;25,842;119811,784;0
13/04/2019;125480,118;112,665;126358,614;113,717;119811,784;0
14/04/2019;125640,957;160,839;126519,116;160,502;119811,784;0
15/04/2019;125789,688;148,731;126668,341;149,225;119811,784;0
16/04/2019;125948,932;159,244;126826,895;158,554;119811,784;0
17/04/2019;126088,192;139,26;126969,055;142,16;119811,784;0
18/04/2019;126246,677;158,485;127127,132;158,077;119811,784;0
19/04/2019;126361,951;115,274;127245,032;117,9;119811,784;0
20/04/2019;126405,874;43,923;127289,836;44,804;119811,784;0
21/04/2019;126546,211;140,337;127428,794;138,958;119811,784;0
22/04/2019;126672,588;126,377;127556,921;128,127;119811,784;0
23/04/2019;126809,84;137,252;127691,306;134,385;119811,784;0
24/04/2019;126936,636;126,796;127817,6;126,294;119811,784;0
25/04/2019;127059,992;123,356;127941,267;123,667;119811,784;0
26/04/2019;127174,694;114,702;128052,356;111,089;119811,784;0
27/04/2019;127268,377;93,683;128143,666;91,31;119811,784;0
28/04/2019;127391,497;123,12;128269,284;125,618;119811,784;0
29/04/2019;127531,056;139,559;128408,019;138,735;119811,784;0
30/04/2019;127666,277;135,221;128541,351;133,332;119811,784;0
