Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;;;;;
;;;;;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 164;STP 25000TL-30 164;;;;
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;;;;
;1900744168;1900744168;1900755276;1900755276;1901250164;1901250164;;;;
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;;;;
;Counter;Analog;Counter;Analog;Counter;Analog;;;;
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh;;;;
01/09/2019;141412,737;134,919;142005,09;0;468,939;0;;;;
02/09/2019;141440,504;27,767;142064,792;59,702;559,21;90,271;;;;
03/09/2019;141440,504;0;142064,792;0;588,111;28,901;;;;
04/09/2019;141495,231;54,727;142119,797;55,005;643,373;55,262;;;;
05/09/2019;141651,371;156,14;142274,123;154,326;797,787;154,414;;;;
06/09/2019;141774,379;123,008;142395,443;121,32;917,955;120,168;;;;
07/09/2019;141797,523;23,144;142418,666;23,223;941,599;23,644;;;;
08/09/2019;141935,679;138,156;142559,23;140,564;1093,161;151,562;;;;
09/09/2019;142056,476;120,797;142680,792;121,562;1216,964;123,803;;;;
10/09/2019;142164,237;107,761;142789,689;108,897;1331,101;114,137;;;;
11/09/2019;142272,392;108,155;142908,171;118,482;1449,873;118,772;;;;
12/09/2019;142379,106;106,714;143024,786;116,615;1596,645;146,772;;;;
13/09/2019;142528,446;149,34;143176,145;151,359;1754,833;158,188;;;;
14/09/2019;142642,03;113,584;143291,151;115,006;1888,947;134,114;;;;
15/09/2019;142763,407;121,377;143413,18;122,029;2032,829;143,882;;;;
16/09/2019;142922,324;158,917;143573,255;160,075;2192,051;159,222;;;;
17/09/2019;143036,733;114,409;143688,685;115,43;2308,259;116,208;;;;
18/09/2019;143184,7;147,967;143837,541;148,856;2455,775;147,516;;;;
19/09/2019;143343,111;158,411;143997,253;159,712;2615,303;159,528;;;;
20/09/2019;143474,126;131,015;144135,378;138,125;2761,51;146,207;;;;
21/09/2019;143595,238;121,112;144257,207;121,829;2882,994;121,484;;;;
22/09/2019;143761,923;166,685;144425,863;168,656;3050,43;167,436;;;;
23/09/2019;143896,767;134,844;144565,963;140,1;3184,904;134,474;;;;
24/09/2019;144052,741;155,974;144724,048;158,085;3337,718;152,814;;;;
25/09/2019;144210,666;157,925;144883,635;159,587;3496,296;158,578;;;;
26/09/2019;144371,576;160,91;145046,853;163,218;3658,536;162,24;;;;
27/09/2019;144513,689;142,113;145191,377;144,524;3807,397;148,861;;;;
28/09/2019;144631,933;118,244;145320,059;128,682;3956,554;149,157;;;;
29/09/2019;144754,23;122,297;145443,689;123,63;4101,368;144,814;;;;
30/09/2019;144868,674;114,444;145563,454;119,765;4253,084;151,716;;;;
