Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/05/2019;127799,048;132,771;128676,472;135,121;119811,784;0
02/05/2019;127946,5;147,452;128823,291;146,819;119811,784;0
03/05/2019;128091,307;144,807;128967,098;143,807;119811,784;0
04/05/2019;128227,572;136,265;129105,145;138,047;119811,784;0
05/05/2019;128338,505;110,933;129213,15;108,005;119811,784;0
06/05/2019;128416,324;77,819;129292,566;79,416;119811,784;0
07/05/2019;128458,112;41,788;129334,701;42,135;119811,784;0
08/05/2019;128520,706;62,594;129391,535;56,834;119811,784;0
09/05/2019;128649,454;128,748;129520,211;128,676;119811,784;0
10/05/2019;128791,459;142,005;129662,577;142,366;119811,784;0
11/05/2019;128904,017;112,558;129775,783;113,206;119811,784;0
12/05/2019;129019,033;115,016;129891,577;115,794;119811,784;0
13/05/2019;129155,087;136,054;130027,255;135,678;119811,784;0
14/05/2019;129296,497;141,41;130165,756;138,501;119811,784;0
15/05/2019;129445,523;149,026;130312,992;147,236;119811,784;0
16/05/2019;129590,155;144,632;130456,398;143,406;119811,784;0
17/05/2019;129711,722;121,567;130579,133;122,735;119811,784;0
18/05/2019;129851,477;139,755;130716,813;137,68;119811,784;0
19/05/2019;129981,382;129,905;130844,644;127,831;119811,784;0
20/05/2019;130092,477;111,095;130956,36;111,716;119811,784;0
21/05/2019;130190,853;98,376;131052,186;95,826;119811,784;0
22/05/2019;130333,395;142,542;131192,741;140,555;119811,784;0
23/05/2019;130470,664;137,269;131328,954;136,213;119811,784;0
24/05/2019;130612,907;142,243;131469,536;140,582;119811,784;0
25/05/2019;130740,716;127,809;131594,415;124,879;119811,784;0
26/05/2019;130885,373;144,657;131737,475;143,06;119811,784;0
27/05/2019;130977,077;91,704;131828,489;91,014;119811,784;0
28/05/2019;131114,632;137,555;131966,515;138,026;119811,784;0
29/05/2019;131218,989;104,357;132071,948;105,433;119811,784;0
30/05/2019;131342,219;123,23;132193,912;121,964;119811,784;0
31/05/2019;131474,759;132,54;132324,527;130,615;119811,784;0
