Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/03/2019;120162,513;64,521;120982,703;65,195;119811,784;0
02/03/2019;120259,341;96,828;121080,712;98,009;119811,784;0
03/03/2019;120351,34;91,999;121173,521;92,809;119811,784;0
04/03/2019;120419,958;68,618;121242,9;69,379;119811,784;0
05/03/2019;120573,734;153,776;121398,391;155,491;119811,784;0
06/03/2019;120735,352;161,618;121562,016;163,625;119811,784;0
07/03/2019;120888,377;153,025;121717,694;155,678;119811,784;0
08/03/2019;121041,672;153,295;121873,525;155,831;119811,784;0
09/03/2019;121201,809;160,137;122036,794;163,269;119811,784;0
10/03/2019;121358,025;156,216;122194,928;158,134;119811,784;0
11/03/2019;121487,104;129,079;122325,578;130,65;119811,784;0
12/03/2019;121545,295;58,191;122384,136;58,558;119811,784;0
13/03/2019;121687,538;142,243;122528,109;143,973;119811,784;0
14/03/2019;121821,66;134,122;122664,511;136,402;119811,784;0
15/03/2019;121970,744;149,084;122815,949;151,438;119811,784;0
16/03/2019;122133,156;162,412;122980,573;164,624;119811,784;0
17/03/2019;122219,849;86,693;123068,861;88,288;119811,784;0
18/03/2019;122273,712;53,863;123123,967;55,106;119811,784;0
19/03/2019;122429,871;156,159;123282,215;158,248;119811,784;0
20/03/2019;122578,623;148,752;123433,765;151,55;119811,784;0
21/03/2019;122733,599;154,976;123590,794;157,029;119811,784;0
22/03/2019;122879,273;145,674;123742,904;152,11;119811,784;0
23/03/2019;123024,295;145,022;123889,263;146,359;119811,784;0
24/03/2019;123173,561;149,266;124040,116;150,853;119811,784;0
25/03/2019;123326,18;152,619;124194,99;154,874;119811,784;0
26/03/2019;123454,958;128,778;124325,539;130,549;119811,784;0
27/03/2019;123570,287;115,329;124441,88;116,341;119811,784;0
28/03/2019;123661,181;90,894;124533,406;91,526;119811,784;0
29/03/2019;123714,024;52,843;124586,602;53,196;119811,784;0
30/03/2019;123827,119;113,095;124700,286;113,684;119811,784;0
31/03/2019;123876,46;49,341;124750,063;49,777;119811,784;0
