Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/11/2016;14167,528;127,258;14197,129;129,699;14085,667;156,241
02/11/2016;14322,217;154,689;14355,046;157,917;14226,164;140,497
03/11/2016;14465,223;143,006;14500,592;145,546;14355,583;129,419
04/11/2016;14597,956;132,733;14633,852;133,26;14513,01;157,427
05/11/2016;14747,876;149,92;14785,463;151,611;14658,325;145,315
06/11/2016;14888,545;140,669;14927,31;141,847;14792,834;134,509
07/11/2016;15045,692;157,147;15086,229;158,919;14944,465;151,631
08/11/2016;15188,434;142,742;15231,114;144,885;15087,385;142,92
09/11/2016;15341,76;153,326;15386,693;155,579;15246,524;159,139
10/11/2016;15492,59;150,83;15539,018;152,325;15390,634;144,11
11/11/2016;15570,6;78,01;15617,615;78,597;15547,164;156,53
12/11/2016;15570,6;0;15617,615;0;15700,014;152,85
13/11/2016;15570,6;0;15617,615;0;15781,834;81,82
14/11/2016;15570,6;0;15617,615;0;15781,834;0
15/11/2016;15570,6;0;15617,615;0;15781,834;0
16/11/2016;15570,6;0;15617,615;0;15781,834;0
17/11/2016;15570,6;0;15617,615;0;15781,834;0
18/11/2016;15570,6;0;15617,615;0;15781,834;0
19/11/2016;15570,6;0;15617,615;0;15781,834;0
20/11/2016;15570,6;0;15617,615;0;15781,834;0
21/11/2016;15570,6;0;15617,615;0;15781,834;0
22/11/2016;15570,6;0;15617,615;0;15781,834;0
23/11/2016;15570,6;0;15617,615;0;15781,834;0
24/11/2016;15570,6;0;15617,615;0;15781,834;0
25/11/2016;15570,6;0;15617,615;0;15781,834;0
26/11/2016;15570,6;0;15617,615;0;15781,834;0
27/11/2016;15570,6;0;15617,615;0;15781,834;0
28/11/2016;15570,6;0;15617,615;0;15781,834;0
29/11/2016;15570,6;0;15617,615;0;15781,834;0
30/11/2016;15570,6;0;15617,615;0;15781,834;0
