Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/03/2018;72038,078;154,109;72430,128;157,311;72968,682;107,847
02/03/2018;72189,448;151,37;72584,838;154,71;73069,759;101,077
03/03/2018;72352,972;163,524;72751,385;166,547;73226,11;156,351
04/03/2018;72491,671;138,699;72891,997;140,612;73380,438;154,328
05/03/2018;72653,902;162,231;73056,179;164,182;73547,893;167,455
06/03/2018;72820,162;166,26;73225,546;169,367;73686,927;139,034
07/03/2018;72986,419;166,257;73394,77;169,224;73852,525;165,598
08/03/2018;73150,587;164,168;73561,798;167,028;74021,04;168,515
09/03/2018;73320,259;169,672;73734,732;172,934;74190,109;169,069
10/03/2018;73481,757;161,498;73898,086;163,354;74357,826;167,717
11/03/2018;73625,072;143,315;74044,901;146,815;74529,396;171,57
12/03/2018;73777,532;152,46;74199,06;154,159;74694,625;165,229
13/03/2018;73942,236;164,704;74366,54;167,48;74841,575;146,95
14/03/2018;74079,406;137,17;74504,803;138,263;74993,92;152,345
15/03/2018;74247,61;168,204;74675,933;171,13;75159,357;165,437
16/03/2018;74405,086;157,476;74835,943;160,01;75296,768;137,411
17/03/2018;74566,09;161,004;74998,924;162,981;75466,957;170,189
18/03/2018;74729,508;163,418;75164,496;165,572;75627,271;160,314
19/03/2018;74881,254;151,746;75317,288;152,792;75789,201;161,93
20/03/2018;75015,449;134,195;75452,25;134,962;75954,319;165,118
21/03/2018;75171,315;155,866;75610,709;158,459;76108,503;154,184
22/03/2018;75314,874;143,559;75755,342;144,633;76242,44;133,937
23/03/2018;75431,698;116,824;75873,098;117,756;76400,118;157,678
24/03/2018;75506,665;74,967;75949,646;76,548;76545,955;145,837
25/03/2018;75665,05;158,385;76111,211;161,565;76664,442;118,487
26/03/2018;75759,635;94,585;76206,528;95,317;76742,21;77,768
27/03/2018;75769,884;10,249;76216,873;10,345;76905,023;162,813
28/03/2018;75821,542;51,658;76268,933;52,06;77000,862;95,839
29/03/2018;75980,117;158,575;76430,077;161,144;77011,443;10,581
30/03/2018;76137,744;157,627;76590,408;160,331;77063,797;52,354
31/03/2018;76297,822;160,078;76751,89;161,482;77226,792;162,995
