Version CSV1|Tool SE|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint comma|Precision 3;;;;;;
;;;;;;
;STP 25000TL-30 168;STP 25000TL-30 168;STP 25000TL-30 276;STP 25000TL-30 276;STP 25000TL-30 848;STP 25000TL-30 848
;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;1900744168;1900744168;1900755276;1900755276;1900744848;1900744848
;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário;Rendimento total;Rendimento diário
;Counter;Analog;Counter;Analog;Counter;Analog
dd/MM/yyyy;kWh;kWh;kWh;kWh;kWh;kWh
01/08/2017;42141,528;145,007;42216,67;142,004;42443,133;103,891
02/08/2017;42300,571;159,043;42373,199;156,529;42585,187;142,054
03/08/2017;42459,749;159,178;42529,251;156,052;42732,648;147,461
04/08/2017;42603,426;143,677;42670,196;140,945;42894,36;161,712
05/08/2017;42697,402;93,976;42760,242;90,046;43056,077;161,717
06/08/2017;42836,404;139,002;42899,087;138,845;43202,023;145,946
07/08/2017;42979,168;142,764;43038,426;139,339;43297,18;95,157
08/08/2017;43136,828;157,66;43196,299;157,873;43438,826;141,646
09/08/2017;43298,313;161,485;43355,133;158,834;43584,009;145,183
10/08/2017;43448,945;150,632;43504,472;149,339;43744,656;160,647
11/08/2017;43578,533;129,588;43632,455;127,983;43909,17;164,514
12/08/2017;43704,694;126,161;43755,182;122,727;44062,609;153,439
13/08/2017;43866,047;161,353;43914,599;159,417;44194,512;131,903
14/08/2017;44028,545;162,498;44074,537;159,938;44322,698;128,186
15/08/2017;44136,544;107,999;44183,939;109,402;44487,886;165,188
16/08/2017;44257,532;120,988;44304,691;120,752;44653,775;165,889
17/08/2017;44351,949;94,417;44395,574;90,883;44763,607;109,832
18/08/2017;44501,153;149,204;44543,109;147,535;44885,964;122,357
19/08/2017;44649,42;148,267;44689,914;146,805;44981,285;95,321
20/08/2017;44778,073;128,653;44818,348;128,434;45132,886;151,601
21/08/2017;44922,945;144,872;44959,184;140,836;45284,02;151,134
22/08/2017;45061,098;138,153;45097,905;138,721;45414,885;130,865
23/08/2017;45203,678;142,58;45239,975;142,07;45561,567;146,682
24/08/2017;45330,642;126,964;45366,051;126,076;45701,529;139,962
25/08/2017;45431,047;100,405;45465,217;99,166;45845,937;144,408
26/08/2017;45583,344;152,297;45615,02;149,803;45974,855;128,918
27/08/2017;45727,3;143,956;45756,15;141,13;46076,268;101,413
28/08/2017;45878,035;150,735;45906,559;150,409;46230,284;154,016
29/08/2017;46038,876;160,841;46067,5;160,941;46376,672;146,388
30/08/2017;46198,188;159,312;46225,907;158,407;46529,112;152,44
31/08/2017;46358,976;160,788;46386,278;160,371;46692,84;163,728
